# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CIB10637_002697	CIB10637_002697	CIB10637_002697-T2	protein_coding	0	0	0	66	0	0	1	0	0	0	0	49	0	0	1	0	0	0	0	0	0	0	0	0	0	15
CIB10637_002697	CIB10637_002697	CIB10637_002697-T3	protein_coding	0	0	0	66	0	0	1	0	0	0	0	49	0	0	1	0	0	0	0	0	0	0	0	0	0	15
CIB10637_002697	CIB10637_002697	CIB10637_002697-T4	protein_coding	0	0	0	66	0	0	1	0	0	0	0	49	0	0	1	0	0	0	0	0	0	0	0	0	0	15
CIB10637_002698	CIB10637_002698	CIB10637_002698-T1	protein_coding	2	2	8	52	0	0	0	1	5	2	0	8	2	0	21	0	0	2	0	2	0	0	0	0	2	25
CIB10637_002699	CIB10637_002699	CIB10637_002699-T1	protein_coding	0	1	1	70	0	0	0	0	0	0	0	47	0	0	0	1	0	0	0	0	0	0	0	0	1	23
CIB10637_002700	CIB10637_002700	CIB10637_002700-T1	protein_coding	0	0	2	74	0	0	0	0	0	0	0	50	0	0	0	2	0	0	0	0	0	0	0	0	0	24
CIB10637_002701	CIB10637_002701	CIB10637_002701-T1	protein_coding	0	1	0	60	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	1	27
CIB10637_002702	CIB10637_002702	CIB10637_002702-T1	protein_coding	1	1	2	52	0	0	0	0	0	0	0	23	1	0	0	2	0	0	0	0	0	0	0	0	1	29
CIB10637_002703	CIB10637_002703	CIB10637_002703-T1	protein_coding	0	3	1	49	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	3	37
CIB10637_002704	CIB10637_002704	CIB10637_002704-T1	protein_coding	0	0	0	45	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	33
CIB10637_002705	CIB10637_002705	CIB10637_002705-T1	protein_coding	1	1	3	39	0	0	0	0	0	0	0	28	1	1	0	3	0	0	0	0	0	0	0	0	0	11
CIB10637_002706	CIB10637_002706	CIB10637_002706-T1	protein_coding	0	0	4	19	0	0	0	0	0	0	0	10	0	0	0	4	0	0	0	0	0	0	0	0	0	9
CIB10637_002707	CIB10637_002707	CIB10637_002707-T1	protein_coding	0	1	0	23	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	13
CIB10637_002708	CIB10637_002708	CIB10637_002708-T1	protein_coding	0	0	0	28	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	15
CIB10637_002709	CIB10637_002709	CIB10637_002709-T1	protein_coding	0	0	2	38	0	0	0	0	0	0	0	23	0	0	0	2	0	0	0	0	0	0	0	0	0	15
CIB10637_002711	CIB10637_002711	CIB10637_002711-T1	protein_coding	0	2	1	44	1	2	10	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	20
CIB10637_002712	CIB10637_002712	CIB10637_002712-T1	protein_coding	0	5	6	34	0	0	0	0	0	0	0	22	0	0	0	6	0	0	0	0	0	0	0	0	5	12
CIB10637_002713	CIB10637_002713	CIB10637_002713-T1	protein_coding	0	2	2	26	0	0	0	0	0	0	0	18	0	0	1	2	0	0	0	1	0	0	0	0	1	8
CIB10637_002714	CIB10637_002714	CIB10637_002714-T1	protein_coding	0	2	0	31	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	2	20
CIB10637_002715	CIB10637_002715	CIB10637_002715-T1	protein_coding	0	3	2	34	0	0	0	0	0	0	0	15	0	0	0	2	0	0	0	0	0	0	0	0	3	19
CIB10637_002716	CIB10637_002716	CIB10637_002716-T1	protein_coding	0	1	3	29	0	0	0	0	0	0	0	16	0	0	0	3	0	0	0	0	0	0	0	0	1	13
CIB10637_002717	CIB10637_002717	CIB10637_002717-T1	protein_coding	0	1	3	32	0	0	0	0	0	0	0	10	0	0	0	3	0	0	0	0	0	0	0	0	1	22
CIB10637_002718	CIB10637_002718	CIB10637_002718-T1	protein_coding	0	1	4	30	0	0	0	0	0	0	0	16	0	0	0	4	0	0	0	0	0	0	0	0	1	14
CIB10637_002719	CIB10637_002719	CIB10637_002719-T1	protein_coding	0	2	1	49	0	0	0	0	0	0	0	35	0	0	0	1	0	0	0	0	0	0	0	0	2	14
CIB10637_002720	CIB10637_002720	CIB10637_002720-T1	protein_coding	0	2	2	55	0	0	1	0	0	0	0	42	0	0	0	2	0	0	0	0	0	0	0	0	2	12
CIB10637_002721	CIB10637_002721	CIB10637_002721-T1	protein_coding	0	0	1	55	0	0	0	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	0	35
CIB10637_002723	CIB10637_002723	CIB10637_002723-T1	protein_coding	0	0	1	72	9	0	4	0	0	0	0	35	0	0	2	1	0	0	0	0	0	0	0	0	0	22
CIB10637_002724	CIB10637_002724	CIB10637_002724-T1	protein_coding	0	3	5	45	0	0	0	0	0	0	0	32	0	0	2	5	0	0	0	0	0	0	0	0	3	11
CIB10637_002726	CIB10637_002726	CIB10637_002726-T1	protein_coding	0	2	1	26	3	0	0	0	0	0	0	8	0	0	1	1	0	0	0	0	0	0	0	0	2	14
CIB10637_002727	CIB10637_002727	CIB10637_002727-T1	protein_coding	0	0	0	20	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	11
CIB10637_002728	CIB10637_002728	CIB10637_002728-T1	protein_coding	1	3	3	23	0	0	1	0	0	0	0	11	0	0	1	3	0	0	1	0	0	0	0	0	3	11
CIB10637_002729	CIB10637_002729	CIB10637_002729-T1	protein_coding	0	0	1	27	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	17
CIB10637_002730	CIB10637_002730	CIB10637_002730-T1	protein_coding	0	0	3	31	0	0	0	0	0	0	1	18	0	0	1	2	0	0	0	0	0	0	0	0	0	12
CIB10637_002731	CIB10637_002731	CIB10637_002731-T1	protein_coding	0	2	1	40	2	0	8	0	0	0	0	18	0	0	2	1	0	0	0	0	0	0	0	0	2	10
CIB10637_002732	CIB10637_002732	CIB10637_002732-T1	protein_coding	0	1	2	60	0	1	10	0	0	0	0	20	0	0	0	2	0	0	0	0	0	0	0	0	0	30
CIB10637_002733	CIB10637_002733	CIB10637_002733-T1	protein_coding	0	0	1	57	0	0	4	0	0	0	0	38	0	0	0	1	0	0	0	0	0	0	0	0	0	15
CIB10637_002734	CIB10637_002734	CIB10637_002734-T1	protein_coding	0	1	2	74	0	0	0	0	0	0	0	17	0	0	1	2	0	0	0	0	0	0	0	0	1	56
CIB10637_002735	CIB10637_002735	CIB10637_002735-T1	protein_coding	0	3	8	78	0	0	0	3	3	0	0	23	0	0	13	2	0	0	0	0	0	0	0	0	3	42
CIB10637_002736	CIB10637_002736	CIB10637_002736-T1	protein_coding	0	2	1	70	0	0	0	0	0	0	0	22	0	0	0	1	0	0	0	0	0	0	0	0	2	48
CIB10637_002737	CIB10637_002737	CIB10637_002737-T1	protein_coding	0	1	0	63	0	0	5	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	1	26
CIB10637_002738	CIB10637_002738	CIB10637_002738-T1	protein_coding	0	2	1	41	0	0	8	0	0	0	0	16	0	0	2	1	0	0	0	1	0	0	0	0	1	16
CIB10637_002740	CIB10637_002740	CIB10637_002740-T1	protein_coding	0	1	3	42	1	0	2	0	0	0	0	25	0	0	0	3	0	0	0	0	0	0	0	0	1	14
CIB10637_002741	CIB10637_002741	CIB10637_002741-T1	protein_coding	0	3	3	52	0	0	0	0	0	0	0	35	0	0	0	3	0	0	0	0	0	0	0	0	3	17
CIB10637_002742	CIB10637_002742	CIB10637_002742-T1	protein_coding	0	2	1	49	0	0	0	0	0	0	0	12	0	0	3	1	0	0	0	0	0	0	0	0	2	34
CIB10637_002743	CIB10637_002743	CIB10637_002743-T1	protein_coding	0	3	3	61	0	0	0	0	0	0	0	32	0	0	0	3	0	0	0	0	0	0	0	0	3	29
CIB10637_002744	CIB10637_002744	CIB10637_002744-T1	protein_coding	1	1	0	59	0	0	0	0	0	0	0	32	1	0	0	0	0	0	0	0	0	0	0	0	1	27
CIB10637_002745	CIB10637_002745	CIB10637_002745-T1	protein_coding	0	0	0	47	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	31
CIB10637_002747	CIB10637_002747	CIB10637_002747-T1	protein_coding	0	1	1	47	0	0	0	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	1	27
CIB10637_002750	CIB10637_002750	CIB10637_002750-T1	protein_coding	1	1	0	39	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	1	0	0	0	1	18
CIB10637_002751	CIB10637_002751	CIB10637_002751-T1	protein_coding	0	2	4	41	0	0	0	0	0	0	0	26	0	0	0	4	0	0	0	0	0	0	0	0	2	15
CIB10637_002752	CIB10637_002752	CIB10637_002752-T1	protein_coding	2	0	0	35	0	0	0	0	0	0	0	14	2	0	0	0	0	0	0	0	0	0	0	0	0	21
CIB10637_002753	CIB10637_002753	CIB10637_002753-T1	protein_coding	0	5	4	34	0	0	0	0	0	0	0	21	0	0	2	4	0	0	0	1	0	0	0	0	4	12
CIB10637_002754	CIB10637_002754	CIB10637_002754-T1	protein_coding	0	0	2	33	1	0	1	0	0	0	0	14	0	0	1	2	0	0	0	0	0	0	0	0	0	16
CIB10637_002757	CIB10637_002757	CIB10637_002757-T1	protein_coding	0	0	1	22	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	13
CIB10637_002759	CIB10637_002759	CIB10637_002759-T1	protein_coding	0	0	1	32	0	0	0	0	0	0	0	18	0	0	1	1	0	0	0	0	0	0	0	0	0	13
CIB10637_002760	CIB10637_002760	CIB10637_002760-T1	protein_coding	0	1	2	29	0	0	0	0	0	0	0	9	0	0	2	2	0	0	0	1	0	0	0	0	0	19
CIB10637_002761	CIB10637_002761	CIB10637_002761-T1	protein_coding	0	0	0	30	0	0	0	0	0	0	0	17	0	0	1	0	0	0	0	0	0	0	0	0	0	12
CIB10637_002762	CIB10637_002762	CIB10637_002762-T1	protein_coding	0	2	0	33	0	0	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	0	0	2	18
CIB10637_002764	CIB10637_002764	CIB10637_002764-T1	protein_coding	0	1	0	31	0	0	2	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	1	9
CIB10637_002765	CIB10637_002765	CIB10637_002765-T1	protein_coding	0	1	2	30	0	0	0	0	0	0	0	11	0	0	1	2	0	0	0	0	0	0	0	0	1	18
CIB10637_002768	CIB10637_002768	CIB10637_002768-T1	protein_coding	0	3	10	53	0	0	0	0	0	0	0	34	0	0	4	10	0	0	0	0	0	0	0	0	3	15
CIB10637_002769	CIB10637_002769	CIB10637_002769-T1	protein_coding	0	2	2	27	0	1	1	0	0	0	0	11	0	0	0	2	0	0	0	0	0	0	0	0	1	15
CIB10637_002770	CIB10637_002770	CIB10637_002770-T1	protein_coding	0	0	1	29	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	18
CIB10637_002771	CIB10637_002771	CIB10637_002771-T1	protein_coding	0	1	2	34	0	0	0	0	0	0	0	16	0	0	3	2	0	0	0	0	0	0	0	0	1	15
CIB10637_002772	CIB10637_002772	CIB10637_002772-T1	protein_coding	0	2	2	36	0	0	0	0	0	0	0	15	0	0	0	2	0	0	0	0	0	0	0	0	2	21
CIB10637_002774	CIB10637_002774	CIB10637_002774-T1	protein_coding	0	1	6	38	0	0	0	1	0	3	0	17	0	0	1	2	0	0	0	0	0	0	0	0	1	20
CIB10637_002775	CIB10637_002775	CIB10637_002775-T1	protein_coding	1	2	2	31	0	0	0	0	0	0	0	25	1	0	0	2	0	0	0	0	0	0	0	0	2	6
CIB10637_002777	CIB10637_002777	CIB10637_002777-T1	protein_coding	0	4	0	31	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	4	20
CIB10637_002778	CIB10637_002778	CIB10637_002778-T1	protein_coding	0	1	1	28	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	20
CIB10637_002779	CIB10637_002779	CIB10637_002779-T1	protein_coding	0	1	1	29	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	1	17
CIB10637_002780	CIB10637_002780	CIB10637_002780-T1	protein_coding	0	3	0	27	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	3	14
CIB10637_002782	CIB10637_002782	CIB10637_002782-T1	protein_coding	0	2	0	33	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	2	13
CIB10637_002782	CIB10637_002782	CIB10637_002782-T2	protein_coding	0	1	0	34	0	0	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	1	13
CIB10637_002785	CIB10637_002785	CIB10637_002785-T1	protein_coding	0	2	0	14	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	1	0	0	0	0	1	5
CIB10637_002787	CIB10637_002787	CIB10637_002787-T1	protein_coding	0	1	1	23	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	1	13
CIB10637_002788	CIB10637_002788	CIB10637_002788-T1	protein_coding	0	1	2	33	0	0	0	0	0	0	0	23	0	0	0	2	0	0	0	0	0	0	0	0	1	10
CIB10637_002789	CIB10637_002789	CIB10637_002789-T1	protein_coding	0	1	1	44	8	0	2	0	0	0	0	13	0	0	9	1	0	0	0	1	0	0	0	0	0	13
CIB10637_002790	CIB10637_002790	CIB10637_002790-T1	protein_coding	0	2	0	39	0	0	0	0	0	0	0	25	0	0	1	0	0	0	0	1	0	0	0	0	1	14
CIB10637_002792	CIB10637_002792	CIB10637_002792-T1	protein_coding	0	0	1	30	0	0	0	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	0	14
CIB10637_002796	CIB10637_002796	CIB10637_002796-T1	protein_coding	0	1	3	35	1	0	0	0	0	0	0	27	0	0	0	3	0	0	0	0	0	0	0	0	1	7
CIB10637_002796	CIB10637_002796	CIB10637_002796-T2	protein_coding	0	2	2	35	1	0	0	0	0	0	0	27	0	0	1	2	0	0	0	1	0	0	0	0	1	7
CIB10637_002798	CIB10637_002798	CIB10637_002798-T1	protein_coding	0	1	3	48	0	1	2	0	0	0	0	16	0	0	1	3	0	0	0	0	0	0	0	0	0	29
CIB10637_002801	CIB10637_002801	CIB10637_002801-T1	protein_coding	0	2	3	51	0	0	0	0	0	0	0	26	0	0	3	3	0	0	0	0	0	0	0	0	2	22
CIB10637_002802	CIB10637_002802	CIB10637_002802-T1	protein_coding	2	0	1	40	12	0	2	0	0	0	0	14	2	0	0	1	0	0	0	0	0	0	0	0	0	12
CIB10637_002803	CIB10637_002803	CIB10637_002803-T1	protein_coding	0	0	2	35	0	0	0	0	0	0	0	12	0	0	1	2	0	0	0	0	0	0	0	0	0	22
CIB10637_002804	CIB10637_002804	CIB10637_002804-T1	protein_coding	0	0	0	22	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	16
CIB10637_002805	CIB10637_002805	CIB10637_002805-T1	protein_coding	0	1	3	19	0	1	2	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	13
CIB10637_002807	CIB10637_002807	CIB10637_002807-T1	protein_coding	0	1	1	19	0	0	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	1	6
CIB10637_002810	CIB10637_002810	CIB10637_002810-T1	protein_coding	0	0	1	25	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	14
CIB10637_002811	CIB10637_002811	CIB10637_002811-T1	protein_coding	0	1	0	19	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	9
CIB10637_002812	CIB10637_002812	CIB10637_002812-T1	protein_coding	0	0	2	20	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	12
CIB10637_002813	CIB10637_002813	CIB10637_002813-T1	protein_coding	1	0	7	21	0	0	0	0	0	0	0	11	0	0	0	7	0	0	0	0	0	1	0	0	0	10
CIB10637_002814	CIB10637_002814	CIB10637_002814-T1	protein_coding	0	0	3	22	0	0	0	0	0	0	0	15	0	0	0	3	0	0	0	0	0	0	0	0	0	7
CIB10637_002816	CIB10637_002816	CIB10637_002816-T1	protein_coding	0	3	2	26	0	0	0	0	0	0	0	13	0	0	1	2	0	0	0	1	0	0	0	0	2	13
CIB10637_002817	CIB10637_002817	CIB10637_002817-T1	protein_coding	0	0	0	28	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	14
CIB10637_002818	CIB10637_002818	CIB10637_002818-T1	protein_coding	0	1	1	34	0	0	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	1	21
CIB10637_002819	CIB10637_002819	CIB10637_002819-T1	protein_coding	0	1	2	31	0	0	0	0	0	0	0	15	0	0	0	2	0	0	0	0	0	0	0	0	1	16
CIB10637_002821	CIB10637_002821	CIB10637_002821-T1	protein_coding	0	0	0	32	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	13
CIB10637_002822	CIB10637_002822	CIB10637_002822-T1	protein_coding	0	2	13	26	0	0	0	2	0	0	0	15	0	0	1	11	0	0	0	0	0	0	0	0	2	10
CIB10637_002823	CIB10637_002823	CIB10637_002823-T1	protein_coding	0	1	1	28	0	0	0	0	0	0	0	16	0	0	1	1	0	0	0	1	0	0	0	0	0	12
CIB10637_002824	CIB10637_002824	CIB10637_002824-T1	protein_coding	0	1	3	33	3	0	2	0	0	0	0	13	0	0	0	3	0	0	0	0	0	0	0	0	1	15
CIB10637_002825	CIB10637_002825	CIB10637_002825-T1	protein_coding	0	0	2	32	0	0	0	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	0	0	20
CIB10637_002826	CIB10637_002826	CIB10637_002826-T1	protein_coding	0	0	5	34	0	0	0	1	0	0	0	21	0	0	0	4	0	0	0	0	0	0	0	0	0	13
CIB10637_002827	CIB10637_002827	CIB10637_002827-T1	protein_coding	0	1	0	34	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	1	17
CIB10637_002828	CIB10637_002828	CIB10637_002828-T1	protein_coding	0	0	0	32	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	14
CIB10637_002831	CIB10637_002831	CIB10637_002831-T1	protein_coding	1	6	1	23	2	0	1	0	0	0	0	7	0	0	3	1	0	1	0	2	0	0	0	0	5	12
CIB10637_002832	CIB10637_002832	CIB10637_002832-T1	protein_coding	0	2	3	21	0	0	0	0	0	0	0	16	0	0	0	3	0	0	0	0	0	0	0	0	2	5
CIB10637_002836	CIB10637_002836	CIB10637_002836-T1	protein_coding	0	3	0	36	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	3	15
CIB10637_002837	CIB10637_002837	CIB10637_002837-T1	protein_coding	0	1	2	43	1	1	1	0	0	0	0	20	0	0	0	2	0	0	0	0	0	0	0	0	0	21
CIB10637_002840	CIB10637_002840	CIB10637_002840-T1	protein_coding	0	2	3	48	9	0	0	0	0	0	0	16	0	0	3	3	0	0	0	0	0	0	0	0	2	20
CIB10637_002841	CIB10637_002841	CIB10637_002841-T1	protein_coding	0	0	2	31	0	0	0	0	0	0	0	11	0	0	0	2	0	0	0	0	0	0	0	0	0	20
CIB10637_002842	CIB10637_002842	CIB10637_002842-T1	protein_coding	0	0	0	38	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	19
CIB10637_002843	CIB10637_002843	CIB10637_002843-T1	protein_coding	0	0	5	28	0	0	0	0	0	0	0	11	0	0	0	5	0	0	0	0	0	0	0	0	0	17
CIB10637_002846	CIB10637_002846	CIB10637_002846-T1	protein_coding	0	0	0	44	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	17
CIB10637_002847	CIB10637_002847	CIB10637_002847-T1	protein_coding	0	4	9	38	0	0	0	0	0	0	0	17	0	0	0	9	0	0	0	0	0	0	0	0	4	21
CIB10637_002848	CIB10637_002848	CIB10637_002848-T1	protein_coding	0	1	1	42	0	0	0	0	0	0	0	13	0	0	4	1	0	0	0	0	0	0	0	0	1	25
CIB10637_002850	CIB10637_002850	CIB10637_002850-T1	protein_coding	0	0	1	39	0	0	2	0	0	0	0	20	0	0	2	1	0	0	0	0	0	0	0	0	0	15
CIB10637_002851	CIB10637_002851	CIB10637_002851-T1	protein_coding	0	2	2	48	0	0	0	0	0	0	0	32	0	0	0	2	0	0	0	0	0	0	0	0	2	16
CIB10637_002852	CIB10637_002852	CIB10637_002852-T1	protein_coding	0	3	2	79	0	0	0	0	0	0	0	12	0	0	1	2	0	0	0	0	0	0	0	0	3	66
CIB10637_002853	CIB10637_002853	CIB10637_002853-T1	protein_coding	0	0	0	81	0	0	0	0	0	0	0	16	0	0	1	0	0	0	0	0	0	0	0	0	0	64
CIB10637_002854	CIB10637_002854	CIB10637_002854-T1	protein_coding	1	8	17	53	0	0	0	0	0	0	0	18	0	0	0	17	0	0	0	0	0	1	0	0	8	35
CIB10637_002855	CIB10637_002855	CIB10637_002855-T1	protein_coding	0	0	1	104	0	0	0	0	0	0	0	69	0	0	0	1	0	0	0	0	0	0	0	0	0	35
CIB10637_002856	CIB10637_002856	CIB10637_002856-T1	protein_coding	1	15	20	40	0	0	0	0	0	0	0	12	0	0	0	20	0	0	0	0	0	1	0	0	15	28
CIB10637_002857	CIB10637_002857	CIB10637_002857-T1	protein_coding	0	1	0	79	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	1	17
CIB10637_002858	CIB10637_002858	CIB10637_002858-T1	protein_coding	2	0	1	33	0	0	0	0	0	0	0	15	2	0	0	1	0	0	0	0	0	0	0	0	0	18
CIB10637_002860	CIB10637_002860	CIB10637_002860-T1	protein_coding	0	3	3	31	0	0	0	0	0	0	1	11	0	0	0	2	0	0	0	0	0	0	0	0	3	20
CIB10637_002861	CIB10637_002861	CIB10637_002861-T1	protein_coding	0	0	0	24	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	11
CIB10637_002862	CIB10637_002862	CIB10637_002862-T1	protein_coding	0	1	0	31	0	0	3	0	0	0	0	13	0	0	3	0	0	0	0	0	0	0	0	0	1	12
CIB10637_002862	CIB10637_002862	CIB10637_002862-T2	protein_coding	0	1	0	31	0	0	3	0	0	0	0	13	0	0	3	0	0	0	0	0	0	0	0	0	1	12
CIB10637_002864	CIB10637_002864	CIB10637_002864-T1	protein_coding	0	4	4	27	4	0	5	0	0	0	0	10	0	0	0	4	0	0	0	0	0	0	0	0	4	8
CIB10637_002864	CIB10637_002864	CIB10637_002864-T2	protein_coding	0	4	7	23	0	0	2	0	0	0	0	11	0	0	0	7	0	0	0	0	0	0	0	0	4	10
CIB10637_002866	CIB10637_002866	CIB10637_002866-T1	protein_coding	0	0	0	31	2	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	14
CIB10637_002867	CIB10637_002867	CIB10637_002867-T1	protein_coding	0	1	1	25	0	0	3	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	1	11
CIB10637_002868	CIB10637_002868	CIB10637_002868-T1	protein_coding	0	0	0	19	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	10
CIB10637_002869	CIB10637_002869	CIB10637_002869-T1	protein_coding	0	0	1	20	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	10
CIB10637_002871	CIB10637_002871	CIB10637_002871-T1	protein_coding	0	1	1	30	0	0	0	0	0	0	0	21	0	0	0	1	0	0	0	0	0	0	0	0	1	9
CIB10637_002872	CIB10637_002872	CIB10637_002872-T1	protein_coding	0	0	1	29	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	22
CIB10637_002875	CIB10637_002875	CIB10637_002875-T1	protein_coding	0	1	0	21	0	0	1	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	1	11
CIB10637_002875	CIB10637_002875	CIB10637_002875-T2	protein_coding	0	2	0	21	0	1	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	11
CIB10637_002876	CIB10637_002876	CIB10637_002876-T1	protein_coding	0	1	1	23	2	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	1	15
CIB10637_002877	CIB10637_002877	CIB10637_002877-T1	protein_coding	0	1	0	23	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	1	10
CIB10637_002878	CIB10637_002878	CIB10637_002878-T1	protein_coding	0	0	0	36	6	0	2	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	16
CIB10637_002879	CIB10637_002879	CIB10637_002879-T1	protein_coding	0	0	0	30	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	15
CIB10637_002880	CIB10637_002880	CIB10637_002880-T1	protein_coding	0	1	2	36	0	0	0	0	0	0	0	15	0	0	1	2	0	0	0	0	0	0	0	0	1	20
CIB10637_002881	CIB10637_002881	CIB10637_002881-T1	protein_coding	0	1	1	24	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	1	13
CIB10637_002882	CIB10637_002882	CIB10637_002882-T1	protein_coding	0	0	2	27	0	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	0	18
CIB10637_002883	CIB10637_002883	CIB10637_002883-T1	protein_coding	0	0	2	30	3	0	0	0	0	0	0	18	0	0	1	2	0	0	0	0	0	0	0	0	0	8
CIB10637_002883	CIB10637_002883	CIB10637_002883-T2	protein_coding	0	0	3	29	3	0	0	0	0	0	0	18	0	0	0	3	0	0	0	0	0	0	0	0	0	8
CIB10637_002886	CIB10637_002886	CIB10637_002886-T1	protein_coding	0	2	0	17	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	2	8
CIB10637_002886	CIB10637_002886	CIB10637_002886-T2	protein_coding	0	3	0	16	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	3	8
CIB10637_002888	CIB10637_002888	CIB10637_002888-T1	protein_coding	0	0	1	14	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	8
CIB10637_002890	CIB10637_002890	CIB10637_002890-T1	protein_coding	0	0	0	28	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	5
CIB10637_002892	CIB10637_002892	CIB10637_002892-T1	protein_coding	0	0	0	31	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	13
CIB10637_002893	CIB10637_002893	CIB10637_002893-T1	protein_coding	0	0	1	33	0	0	0	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	0	13
